reference_month,published_date,unemployment_rate,previous_unemployment_rate,consensus,forecast,surprise,change_from_previous,meta_commentary
Jul,"Aug 01, 2025  (Jul)",4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations."
Jun,"Jul 03, 2025  (Jun)",4.1%,4.2%,4.3%,4.3%,-0.2%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.3%, positive surprise (-0.2pp vs forecast)."
May,"Jun 06, 2025  (May)",4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations."
Apr,"May 02, 2025  (Apr)",4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations."
Mar,"Apr 04, 2025  (Mar)",4.2%,4.1%,4.1%,4.1%,+0.1%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.1pp vs forecast)."
Feb,"Mar 07, 2025  (Feb)",4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast)."
Jan,"Feb 07, 2025  (Jan)",4.0%,4.1%,4.1%,4.1%,-0.1%,-0.1%,"Unemployment ticked down to 4.0% (vs 4.1% last month). Market expected 4.1%, positive surprise (-0.1pp vs forecast)."
Dec,"Jan 10, 2025  (Dec)",4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast)."
Nov,"Dec 06, 2024  (Nov)",4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations."
Oct,"Nov 01, 2024  (Oct)",4.1%,4.1%,4.1%,4.1%,+0.0%,+0.0%,"Unemployment was unchanged to 4.1% (vs 4.1% last month). Market expected 4.1%, in line with expectations."
Sep,"Oct 04, 2024  (Sep)",4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast)."
Aug,"Sep 06, 2024  (Aug)",4.2%,4.3%,4.2%,4.2%,+0.0%,-0.1%,"Unemployment ticked down to 4.2% (vs 4.3% last month). Market expected 4.2%, in line with expectations."
Jul,"Aug 02, 2024  (Jul)",4.3%,4.1%,4.1%,4.1%,+0.2%,+0.2%,"Unemployment ticked up to 4.3% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.2pp vs forecast)."
Jun,"Jul 05, 2024  (Jun)",4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast)."
May,"Jun 07, 2024  (May)",4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast)."
Apr,"May 03, 2024  (Apr)",3.9%,3.8%,3.8%,3.8%,+0.1%,+0.1%,"Unemployment ticked up to 3.9% (vs 3.8% last month). Market expected 3.8%, negative surprise (+0.1pp vs forecast)."
Mar,"Apr 05, 2024  (Mar)",3.8%,3.9%,3.9%,3.9%,-0.1%,-0.1%,"Unemployment ticked down to 3.8% (vs 3.9% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast)."
Feb,"Mar 08, 2024  (Feb)",3.9%,3.7%,3.7%,3.7%,+0.2%,+0.2%,"Unemployment ticked up to 3.9% (vs 3.7% last month). Market expected 3.7%, negative surprise (+0.2pp vs forecast)."
Jan,"Feb 02, 2024  (Jan)",3.7%,3.7%,3.8%,3.8%,-0.1%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast)."
Dec,"Jan 05, 2024  (Dec)",3.7%,3.7%,3.8%,3.8%,-0.1%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast)."
Nov,"Dec 08, 2023  (Nov)",3.7%,3.9%,3.9%,3.9%,-0.2%,-0.2%,"Unemployment ticked down to 3.7% (vs 3.9% last month). Market expected 3.9%, positive surprise (-0.2pp vs forecast)."
Oct,"Nov 03, 2023  (Oct)",3.9%,3.8%,3.8%,3.8%,+0.1%,+0.1%,"Unemployment ticked up to 3.9% (vs 3.8% last month). Market expected 3.8%, negative surprise (+0.1pp vs forecast)."
Sep,"Oct 06, 2023  (Sep)",3.8%,3.8%,3.7%,3.7%,+0.1%,+0.0%,"Unemployment was unchanged to 3.8% (vs 3.8% last month). Market expected 3.7%, negative surprise (+0.1pp vs forecast)."
Aug,"Sep 01, 2023  (Aug)",3.8%,3.5%,3.5%,3.5%,+0.3%,+0.3%,"Unemployment ticked up to 3.8% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.3pp vs forecast)."
Jul,"Aug 04, 2023  (Jul)",3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast)."
Jun,"Jul 07, 2023  (Jun)",3.6%,3.7%,3.6%,3.6%,+0.0%,-0.1%,"Unemployment ticked down to 3.6% (vs 3.7% last month). Market expected 3.6%, in line with expectations."
May,"Jun 02, 2023  (May)",3.7%,3.4%,3.5%,3.5%,+0.2%,+0.3%,"Unemployment ticked up to 3.7% (vs 3.4% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast)."
Apr,"May 05, 2023  (Apr)",3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast)."
Mar,"Apr 07, 2023  (Mar)",3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast)."
Feb,"Mar 10, 2023  (Feb)",3.6%,3.4%,3.4%,3.4%,+0.2%,+0.2%,"Unemployment ticked up to 3.6% (vs 3.4% last month). Market expected 3.4%, negative surprise (+0.2pp vs forecast)."
Jan,"Feb 03, 2023  (Jan)",3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast)."
Dec,"Jan 06, 2023  (Dec)",3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast)."
Nov,"Dec 02, 2022  (Nov)",3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations."
Oct,"Nov 04, 2022  (Oct)",3.7%,3.5%,3.6%,3.6%,+0.1%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.6%, negative surprise (+0.1pp vs forecast)."
Sep,"Oct 07, 2022  (Sep)",3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast)."
Aug,"Sep 02, 2022  (Aug)",3.7%,3.5%,3.5%,3.5%,+0.2%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast)."
Jul,"Aug 05, 2022  (Jul)",3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast)."
Jun,"Jul 08, 2022  (Jun)",3.6%,3.6%,3.6%,3.6%,+0.0%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.6%, in line with expectations."
May,"Jun 03, 2022  (May)",3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast)."
Apr,"May 06, 2022  (Apr)",3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast)."
Mar,"Apr 01, 2022  (Mar)",3.6%,3.8%,3.7%,3.7%,-0.1%,-0.2%,"Unemployment ticked down to 3.6% (vs 3.8% last month). Market expected 3.7%, positive surprise (-0.1pp vs forecast)."
Feb,"Mar 04, 2022  (Feb)",3.8%,4.0%,3.9%,3.9%,-0.1%,-0.2%,"Unemployment ticked down to 3.8% (vs 4.0% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast)."
Jan,"Feb 04, 2022  (Jan)",4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast)."
Dec,"Jan 07, 2022  (Dec)",3.9%,4.2%,4.1%,4.1%,-0.2%,-0.3%,"Unemployment ticked down to 3.9% (vs 4.2% last month). Market expected 4.1%, positive surprise (-0.2pp vs forecast)."
Nov,"Dec 03, 2021  (Nov)",4.2%,4.6%,4.5%,4.5%,-0.3%,-0.4%,"Unemployment ticked down to 4.2% (vs 4.6% last month). Market expected 4.5%, positive surprise (-0.3pp vs forecast)."
Oct,"Nov 05, 2021  (Oct)",4.6%,4.8%,4.7%,4.7%,-0.1%,-0.2%,"Unemployment ticked down to 4.6% (vs 4.8% last month). Market expected 4.7%, positive surprise (-0.1pp vs forecast)."
Sep,"Oct 08, 2021  (Sep)",4.8%,5.2%,5.1%,5.1%,-0.3%,-0.4%,"Unemployment ticked down to 4.8% (vs 5.2% last month). Market expected 5.1%, positive surprise (-0.3pp vs forecast)."
Aug,"Sep 03, 2021  (Aug)",5.2%,5.4%,5.2%,5.2%,+0.0%,-0.2%,"Unemployment ticked down to 5.2% (vs 5.4% last month). Market expected 5.2%, in line with expectations."
Jul,"Aug 06, 2021  (Jul)",5.4%,5.9%,5.7%,5.7%,-0.3%,-0.5%,"Unemployment ticked down to 5.4% (vs 5.9% last month). Market expected 5.7%, positive surprise (-0.3pp vs forecast)."
Jun,"Jul 02, 2021  (Jun)",5.9%,5.8%,5.7%,5.7%,+0.2%,+0.1%,"Unemployment ticked up to 5.9% (vs 5.8% last month). Market expected 5.7%, negative surprise (+0.2pp vs forecast)."
May,"Jun 04, 2021  (May)",5.8%,6.1%,5.9%,5.9%,-0.1%,-0.3%,"Unemployment ticked down to 5.8% (vs 6.1% last month). Market expected 5.9%, positive surprise (-0.1pp vs forecast)."
Apr,"May 07, 2021  (Apr)",6.1%,6.0%,5.8%,5.8%,+0.3%,+0.1%,"Unemployment ticked up to 6.1% (vs 6.0% last month). Market expected 5.8%, negative surprise (+0.3pp vs forecast)."
Mar,"Apr 02, 2021  (Mar)",6.0%,6.2%,6.0%,6.0%,+0.0%,-0.2%,"Unemployment ticked down to 6.0% (vs 6.2% last month). Market expected 6.0%, in line with expectations."
Feb,"Mar 05, 2021  (Feb)",6.2%,6.3%,6.3%,6.3%,-0.1%,-0.1%,"Unemployment ticked down to 6.2% (vs 6.3% last month). Market expected 6.3%, positive surprise (-0.1pp vs forecast)."
Jan,"Feb 05, 2021  (Jan)",6.3%,6.7%,6.7%,6.7%,-0.4%,-0.4%,"Unemployment ticked down to 6.3% (vs 6.7% last month). Market expected 6.7%, positive surprise (-0.4pp vs forecast)."
Dec,"Jan 08, 2021  (Dec)",6.7%,6.7%,6.8%,6.8%,-0.1%,+0.0%,"Unemployment was unchanged to 6.7% (vs 6.7% last month). Market expected 6.8%, positive surprise (-0.1pp vs forecast)."
Nov,"Dec 04, 2020  (Nov)",6.7%,6.9%,6.8%,6.8%,-0.1%,-0.2%,"Unemployment ticked down to 6.7% (vs 6.9% last month). Market expected 6.8%, positive surprise (-0.1pp vs forecast)."
Oct,"Nov 06, 2020  (Oct)",6.9%,7.9%,7.7%,7.7%,-0.8%,-1.0%,"Unemployment ticked down to 6.9% (vs 7.9% last month). Market expected 7.7%, positive surprise (-0.8pp vs forecast)."
Sep,"Oct 02, 2020  (Sep)",7.9%,8.4%,8.2%,8.2%,-0.3%,-0.5%,"Unemployment ticked down to 7.9% (vs 8.4% last month). Market expected 8.2%, positive surprise (-0.3pp vs forecast)."
Aug,"Sep 04, 2020  (Aug)",8.4%,10.2%,9.8%,9.8%,-1.4%,-1.8%,"Unemployment ticked down to 8.4% (vs 10.2% last month). Market expected 9.8%, positive surprise (-1.4pp vs forecast)."
Jul,"Aug 07, 2020  (Jul)",10.2%,11.1%,10.5%,10.5%,-0.3%,-0.9%,"Unemployment ticked down to 10.2% (vs 11.1% last month). Market expected 10.5%, positive surprise (-0.3pp vs forecast)."
Jun,"Jul 02, 2020  (Jun)",11.1%,13.3%,12.3%,12.3%,-1.2%,-2.2%,"Unemployment ticked down to 11.1% (vs 13.3% last month). Market expected 12.3%, positive surprise (-1.2pp vs forecast)."
May,"Jun 05, 2020  (May)",13.3%,14.7%,19.7%,19.7%,-6.4%,-1.4%,"Unemployment ticked down to 13.3% (vs 14.7% last month). Market expected 19.7%, positive surprise (-6.4pp vs forecast)."
Apr,"May 08, 2020  (Apr)",14.7%,4.4%,16.0%,16.0%,-1.3%,+10.3%,"Unemployment ticked up to 14.7% (vs 4.4% last month). Market expected 16.0%, positive surprise (-1.3pp vs forecast)."
Mar,"Apr 03, 2020  (Mar)",4.4%,3.5%,3.8%,3.8%,+0.6%,+0.9%,"Unemployment ticked up to 4.4% (vs 3.5% last month). Market expected 3.8%, negative surprise (+0.6pp vs forecast)."
Feb,"Mar 06, 2020  (Feb)",3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast)."
Jan,"Feb 07, 2020  (Jan)",3.6%,3.5%,3.5%,3.5%,+0.1%,+0.1%,"Unemployment ticked up to 3.6% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast)."
Dec,"Jan 10, 2020  (Dec)",3.5%,3.5%,3.5%,3.5%,+0.0%,+0.0%,"Unemployment was unchanged to 3.5% (vs 3.5% last month). Market expected 3.5%, in line with expectations."
Nov,"Dec 06, 2019  (Nov)",3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast)."
Oct,"Nov 01, 2019  (Oct)",3.6%,3.5%,3.6%,3.6%,+0.0%,+0.1%,"Unemployment ticked up to 3.6% (vs 3.5% last month). Market expected 3.6%, in line with expectations."
Sep,"Oct 04, 2019  (Sep)",3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast)."
Aug,"Sep 06, 2019  (Aug)",3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations."
Jul,"Aug 02, 2019  (Jul)",3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations."
Jun,"Jul 05, 2019  (Jun)",3.7%,3.6%,3.6%,3.6%,+0.1%,+0.1%,"Unemployment ticked up to 3.7% (vs 3.6% last month). Market expected 3.6%, negative surprise (+0.1pp vs forecast)."
May,"Jun 07, 2019  (May)",3.6%,3.6%,3.6%,3.6%,+0.0%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.6%, in line with expectations."
Apr,"May 03, 2019  (Apr)",3.6%,3.8%,3.8%,3.8%,-0.2%,-0.2%,"Unemployment ticked down to 3.6% (vs 3.8% last month). Market expected 3.8%, positive surprise (-0.2pp vs forecast)."
Mar,"Apr 05, 2019  (Mar)",3.8%,3.8%,3.8%,3.8%,+0.0%,+0.0%,"Unemployment was unchanged to 3.8% (vs 3.8% last month). Market expected 3.8%, in line with expectations."
Feb,"Mar 08, 2019  (Feb)",3.8%,4.0%,3.9%,3.9%,-0.1%,-0.2%,"Unemployment ticked down to 3.8% (vs 4.0% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast)."
Jan,"Feb 01, 2019  (Jan)",4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast)."
Dec,"Jan 04, 2019  (Dec)",3.9%,3.7%,3.7%,3.7%,+0.2%,+0.2%,"Unemployment ticked up to 3.9% (vs 3.7% last month). Market expected 3.7%, negative surprise (+0.2pp vs forecast)."
Nov,"Dec 07, 2018  (Nov)",3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations."
Oct,"Nov 02, 2018  (Oct)",3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations."
Sep,"Oct 05, 2018  (Sep)",3.7%,3.9%,3.8%,3.8%,-0.1%,-0.2%,"Unemployment ticked down to 3.7% (vs 3.9% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast)."
