reference_month,release_date,unemployment_rate,previous_unemployment_rate,consensus,forecast,surprise,change_from_previous,meta_commentary,event_type,ivv_same_day_return,ivv_next_day_return,t0,t1
Jul,2025-08-01 00:00:00-04:00,4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations.",unemployment,0.015240467660309065,-0.004809416836433322,2025-08-03 00:00:00-04:00,2025-08-04 00:00:00-04:00
Jun,2025-07-03 00:00:00-04:00,4.1%,4.2%,4.3%,4.3%,-0.2%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.3%, positive surprise (-0.2pp vs forecast).",unemployment,-0.00690890354264706,-0.0008015003868080406,2025-07-06 00:00:00-04:00,2025-07-07 00:00:00-04:00
May,2025-06-06 00:00:00-04:00,4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations.",unemployment,0.0009468630812592416,0.0057420524769054015,2025-06-08 00:00:00-04:00,2025-06-09 00:00:00-04:00
Apr,2025-05-02 00:00:00-04:00,4.2%,4.2%,4.2%,4.2%,+0.0%,+0.0%,"Unemployment was unchanged to 4.2% (vs 4.2% last month). Market expected 4.2%, in line with expectations.",unemployment,-0.005567891966377969,-0.008177778162276272,2025-05-04 00:00:00-04:00,2025-05-05 00:00:00-04:00
Mar,2025-04-04 00:00:00-04:00,4.2%,4.1%,4.1%,4.1%,+0.1%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.1pp vs forecast).",unemployment,-0.002423109148345204,-0.014969038310518878,2025-04-06 00:00:00-04:00,2025-04-07 00:00:00-04:00
Feb,2025-03-07 00:00:00-05:00,4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast).",unemployment,-0.026049715659820283,-0.008519153434470406,2025-03-09 00:00:00-05:00,2025-03-10 00:00:00-04:00
Jan,2025-02-07 00:00:00-05:00,4.0%,4.1%,4.1%,4.1%,-0.1%,-0.1%,"Unemployment ticked down to 4.0% (vs 4.1% last month). Market expected 4.1%, positive surprise (-0.1pp vs forecast).",unemployment,0.006541855875128677,0.0007898441563507497,2025-02-09 00:00:00-05:00,2025-02-10 00:00:00-05:00
Dec,2025-01-10 00:00:00-05:00,4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast).",unemployment,0.001457042360882399,0.0013865866429516593,2025-01-12 00:00:00-05:00,2025-01-13 00:00:00-05:00
Nov,2024-12-06 00:00:00-05:00,4.2%,4.1%,4.2%,4.2%,+0.0%,+0.1%,"Unemployment ticked up to 4.2% (vs 4.1% last month). Market expected 4.2%, in line with expectations.",unemployment,-0.005156912507747746,-0.0028961874606928673,2024-12-08 00:00:00-05:00,2024-12-09 00:00:00-05:00
Oct,2024-11-01 00:00:00-04:00,4.1%,4.1%,4.1%,4.1%,+0.0%,+0.0%,"Unemployment was unchanged to 4.1% (vs 4.1% last month). Market expected 4.1%, in line with expectations.",unemployment,-0.002004437930209213,0.0,2024-11-03 00:00:00-04:00,2024-11-03 00:00:00-04:00
Sep,2024-10-04 00:00:00-04:00,4.1%,4.2%,4.2%,4.2%,-0.1%,-0.1%,"Unemployment ticked down to 4.1% (vs 4.2% last month). Market expected 4.2%, positive surprise (-0.1pp vs forecast).",unemployment,-0.008963035214615833,0.009482248573444263,2024-10-06 00:00:00-04:00,2024-10-07 00:00:00-04:00
Aug,2024-09-06 00:00:00-04:00,4.2%,4.3%,4.2%,4.2%,+0.0%,-0.1%,"Unemployment ticked down to 4.2% (vs 4.3% last month). Market expected 4.2%, in line with expectations.",unemployment,0.011226104958331096,0.0036946000016440106,2024-09-08 00:00:00-04:00,2024-09-09 00:00:00-04:00
Jul,2024-08-02 00:00:00-04:00,4.3%,4.1%,4.1%,4.1%,+0.2%,+0.2%,"Unemployment ticked up to 4.3% (vs 4.1% last month). Market expected 4.1%, negative surprise (+0.2pp vs forecast).",unemployment,-0.029098408268311338,0.009496752860575164,2024-08-04 00:00:00-04:00,2024-08-05 00:00:00-04:00
Jun,2024-07-05 00:00:00-04:00,4.1%,4.0%,4.0%,4.0%,+0.1%,+0.1%,"Unemployment ticked up to 4.1% (vs 4.0% last month). Market expected 4.0%, negative surprise (+0.1pp vs forecast).",unemployment,0.0011653076217996716,0.0009312718081586624,2024-07-07 00:00:00-04:00,2024-07-08 00:00:00-04:00
May,2024-06-07 00:00:00-04:00,4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast).",unemployment,0.0029812943291931404,0.0024797362172097603,2024-06-09 00:00:00-04:00,2024-06-10 00:00:00-04:00
Apr,2024-05-03 00:00:00-04:00,3.9%,3.8%,3.8%,3.8%,+0.1%,+0.1%,"Unemployment ticked up to 3.9% (vs 3.8% last month). Market expected 3.8%, negative surprise (+0.1pp vs forecast).",unemployment,0.010411738295927675,0.0012905365731215035,2024-05-05 00:00:00-04:00,2024-05-06 00:00:00-04:00
Mar,2024-04-05 00:00:00-04:00,3.8%,3.9%,3.9%,3.9%,-0.1%,-0.1%,"Unemployment ticked down to 3.8% (vs 3.9% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast).",unemployment,0.00026860286250851573,0.0012472686970923519,2024-04-07 00:00:00-04:00,2024-04-08 00:00:00-04:00
Feb,2024-03-08 00:00:00-05:00,3.9%,3.7%,3.7%,3.7%,+0.2%,+0.2%,"Unemployment ticked up to 3.9% (vs 3.7% last month). Market expected 3.7%, negative surprise (+0.2pp vs forecast).",unemployment,-0.0004861379859578685,0.010427317965951977,2024-03-10 00:00:00-05:00,2024-03-11 00:00:00-04:00
Jan,2024-02-02 00:00:00-05:00,3.7%,3.7%,3.8%,3.8%,-0.1%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0033419847638231914,0.002706873856220149,2024-02-04 00:00:00-05:00,2024-02-05 00:00:00-05:00
Dec,2024-01-05 00:00:00-05:00,3.7%,3.7%,3.8%,3.8%,-0.1%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast).",unemployment,0.013762447398887101,-0.0009441633449612796,2024-01-07 00:00:00-05:00,2024-01-08 00:00:00-05:00
Nov,2023-12-08 00:00:00-05:00,3.7%,3.9%,3.9%,3.9%,-0.2%,-0.2%,"Unemployment ticked down to 3.7% (vs 3.9% last month). Market expected 3.9%, positive surprise (-0.2pp vs forecast).",unemployment,0.003892999826345278,0.004955382768877525,2023-12-10 00:00:00-05:00,2023-12-11 00:00:00-05:00
Oct,2023-11-03 00:00:00-04:00,3.9%,3.8%,3.8%,3.8%,+0.1%,+0.1%,"Unemployment ticked up to 3.9% (vs 3.8% last month). Market expected 3.8%, negative surprise (+0.1pp vs forecast).",unemployment,0.0024050980232424024,0.0,2023-11-05 00:00:00-04:00,2023-11-05 00:00:00-04:00
Sep,2023-10-06 00:00:00-04:00,3.8%,3.8%,3.7%,3.7%,+0.1%,+0.0%,"Unemployment was unchanged to 3.8% (vs 3.8% last month). Market expected 3.7%, negative surprise (+0.1pp vs forecast).",unemployment,0.006583458860373703,0.005228116869530064,2023-10-08 00:00:00-04:00,2023-10-09 00:00:00-04:00
Aug,2023-09-01 00:00:00-04:00,3.8%,3.5%,3.5%,3.5%,+0.3%,+0.3%,"Unemployment ticked up to 3.8% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.3pp vs forecast).",unemployment,-0.004298500736094724,-0.006951637416649503,2023-09-04 00:00:00-04:00,2023-09-05 00:00:00-04:00
Jul,2023-08-04 00:00:00-04:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,0.008839985338349399,-0.004193638027418345,2023-08-06 00:00:00-04:00,2023-08-07 00:00:00-04:00
Jun,2023-07-07 00:00:00-04:00,3.6%,3.7%,3.6%,3.6%,+0.0%,-0.1%,"Unemployment ticked down to 3.6% (vs 3.7% last month). Market expected 3.6%, in line with expectations.",unemployment,0.0026542852254760607,0.00671987136081853,2023-07-09 00:00:00-04:00,2023-07-10 00:00:00-04:00
May,2023-06-02 00:00:00-04:00,3.7%,3.4%,3.5%,3.5%,+0.2%,+0.3%,"Unemployment ticked up to 3.7% (vs 3.4% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast).",unemployment,-0.0017218905652003347,0.002120951646207514,2023-06-04 00:00:00-04:00,2023-06-05 00:00:00-04:00
Apr,2023-05-05 00:00:00-04:00,3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast).",unemployment,0.0005309092329934817,-0.004077109660361122,2023-05-07 00:00:00-04:00,2023-05-08 00:00:00-04:00
Mar,2023-04-07 00:00:00-04:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,0.001143496163467983,-2.441591057067427e-05,2023-04-09 00:00:00-04:00,2023-04-10 00:00:00-04:00
Feb,2023-03-10 00:00:00-05:00,3.6%,3.4%,3.4%,3.4%,+0.2%,+0.2%,"Unemployment ticked up to 3.6% (vs 3.4% last month). Market expected 3.4%, negative surprise (+0.2pp vs forecast).",unemployment,-0.00208812592614227,0.01681831878745421,2023-03-12 00:00:00-05:00,2023-03-13 00:00:00-04:00
Jan,2023-02-03 00:00:00-05:00,3.4%,3.5%,3.6%,3.6%,-0.2%,-0.1%,"Unemployment ticked down to 3.4% (vs 3.5% last month). Market expected 3.6%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0061542313107108,0.012918821051499885,2023-02-05 00:00:00-05:00,2023-02-06 00:00:00-05:00
Dec,2023-01-06 00:00:00-05:00,3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0006926684235682989,0.007187701995809759,2023-01-08 00:00:00-05:00,2023-01-09 00:00:00-05:00
Nov,2022-12-02 00:00:00-05:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,-0.018007868912898073,-0.014301735557929907,2022-12-04 00:00:00-05:00,2022-12-05 00:00:00-05:00
Oct,2022-11-04 00:00:00-04:00,3.7%,3.5%,3.6%,3.6%,+0.1%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.6%, negative surprise (+0.1pp vs forecast).",unemployment,0.009766047454278226,0.0,2022-11-06 00:00:00-04:00,2022-11-06 00:00:00-04:00
Sep,2022-10-07 00:00:00-04:00,3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast).",unemployment,-0.007438300552327859,-0.006857945715088243,2022-10-09 00:00:00-04:00,2022-10-10 00:00:00-04:00
Aug,2022-09-02 00:00:00-04:00,3.7%,3.5%,3.5%,3.5%,+0.2%,+0.2%,"Unemployment ticked up to 3.7% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.2pp vs forecast).",unemployment,-0.003981994221509022,0.01810516149251873,2022-09-05 00:00:00-04:00,2022-09-06 00:00:00-04:00
Jul,2022-08-05 00:00:00-04:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0008662477651445455,-0.004190519834058493,2022-08-07 00:00:00-04:00,2022-08-08 00:00:00-04:00
Jun,2022-07-08 00:00:00-04:00,3.6%,3.6%,3.6%,3.6%,+0.0%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.6%, in line with expectations.",unemployment,-0.011390202954490225,-0.00898445391641145,2022-07-10 00:00:00-04:00,2022-07-11 00:00:00-04:00
May,2022-06-03 00:00:00-04:00,3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast).",unemployment,0.00300674405017487,0.009283859369917602,2022-06-05 00:00:00-04:00,2022-06-06 00:00:00-04:00
Apr,2022-05-06 00:00:00-04:00,3.6%,3.6%,3.5%,3.5%,+0.1%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast).",unemployment,-0.03216263517646967,0.001975282304166104,2022-05-08 00:00:00-04:00,2022-05-09 00:00:00-04:00
Mar,2022-04-01 00:00:00-04:00,3.6%,3.8%,3.7%,3.7%,-0.1%,-0.2%,"Unemployment ticked down to 3.6% (vs 3.8% last month). Market expected 3.7%, positive surprise (-0.1pp vs forecast).",unemployment,0.008817079817641682,-0.012881279881344354,2022-04-03 00:00:00-04:00,2022-04-04 00:00:00-04:00
Feb,2022-03-04 00:00:00-05:00,3.8%,4.0%,3.9%,3.9%,-0.1%,-0.2%,"Unemployment ticked down to 3.8% (vs 4.0% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast).",unemployment,-0.029381240167563938,-0.0074550754330230395,2022-03-06 00:00:00-05:00,2022-03-07 00:00:00-05:00
Jan,2022-02-04 00:00:00-05:00,4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast).",unemployment,-0.003548929145642088,0.007946815430265763,2022-02-06 00:00:00-05:00,2022-02-07 00:00:00-05:00
Dec,2022-01-07 00:00:00-05:00,3.9%,4.2%,4.1%,4.1%,-0.2%,-0.3%,"Unemployment ticked down to 3.9% (vs 4.2% last month). Market expected 4.1%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0018797579571374623,0.009866682933931337,2022-01-09 00:00:00-05:00,2022-01-10 00:00:00-05:00
Nov,2021-12-03 00:00:00-05:00,4.2%,4.6%,4.5%,4.5%,-0.3%,-0.4%,"Unemployment ticked down to 4.2% (vs 4.6% last month). Market expected 4.5%, positive surprise (-0.3pp vs forecast).",unemployment,0.012040196549198967,0.020776335386874845,2021-12-05 00:00:00-05:00,2021-12-06 00:00:00-05:00
Oct,2021-11-05 00:00:00-04:00,4.6%,4.8%,4.7%,4.7%,-0.1%,-0.2%,"Unemployment ticked down to 4.6% (vs 4.8% last month). Market expected 4.7%, positive surprise (-0.1pp vs forecast).",unemployment,0.0010419363446447782,0.0,2021-11-07 00:00:00-04:00,2021-11-07 00:00:00-04:00
Sep,2021-10-08 00:00:00-04:00,4.8%,5.2%,5.1%,5.1%,-0.3%,-0.4%,"Unemployment ticked down to 4.8% (vs 5.2% last month). Market expected 5.1%, positive surprise (-0.3pp vs forecast).",unemployment,-0.007461202035378367,-0.0025209815849037698,2021-10-10 00:00:00-04:00,2021-10-11 00:00:00-04:00
Aug,2021-09-03 00:00:00-04:00,5.2%,5.4%,5.2%,5.2%,+0.0%,-0.2%,"Unemployment ticked down to 5.2% (vs 5.4% last month). Market expected 5.2%, in line with expectations.",unemployment,-0.003230249756682513,-0.001322752266326943,2021-09-06 00:00:00-04:00,2021-09-07 00:00:00-04:00
Jul,2021-08-06 00:00:00-04:00,5.4%,5.9%,5.7%,5.7%,-0.3%,-0.5%,"Unemployment ticked down to 5.4% (vs 5.9% last month). Market expected 5.7%, positive surprise (-0.3pp vs forecast).",unemployment,-0.0006977171550904826,0.0011707654142096846,2021-08-08 00:00:00-04:00,2021-08-09 00:00:00-04:00
Jun,2021-07-02 00:00:00-04:00,5.9%,5.8%,5.7%,5.7%,+0.2%,+0.1%,"Unemployment ticked up to 5.9% (vs 5.8% last month). Market expected 5.7%, negative surprise (+0.2pp vs forecast).",unemployment,-0.002548158729335781,0.004096390386875148,2021-07-05 00:00:00-04:00,2021-07-06 00:00:00-04:00
May,2021-06-04 00:00:00-04:00,5.8%,6.1%,5.9%,5.9%,-0.1%,-0.3%,"Unemployment ticked down to 5.8% (vs 6.1% last month). Market expected 5.9%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0008486078669789343,4.746563373281276e-05,2021-06-06 00:00:00-04:00,2021-06-07 00:00:00-04:00
Apr,2021-05-07 00:00:00-04:00,6.1%,6.0%,5.8%,5.8%,+0.3%,+0.1%,"Unemployment ticked up to 6.1% (vs 6.0% last month). Market expected 5.8%, negative surprise (+0.3pp vs forecast).",unemployment,-0.009723328337212234,-0.008913034382813212,2021-05-09 00:00:00-04:00,2021-05-10 00:00:00-04:00
Mar,2021-04-02 00:00:00-04:00,6.0%,6.2%,6.0%,6.0%,+0.0%,-0.2%,"Unemployment ticked down to 6.0% (vs 6.2% last month). Market expected 6.0%, in line with expectations.",unemployment,0.014350413488610547,-0.0006129799458327589,2021-04-04 00:00:00-04:00,2021-04-05 00:00:00-04:00
Feb,2021-03-05 00:00:00-05:00,6.2%,6.3%,6.3%,6.3%,-0.1%,-0.1%,"Unemployment ticked down to 6.2% (vs 6.3% last month). Market expected 6.3%, positive surprise (-0.1pp vs forecast).",unemployment,-0.004882435872209601,0.014092161738494369,2021-03-07 00:00:00-05:00,2021-03-08 00:00:00-05:00
Jan,2021-02-05 00:00:00-05:00,6.3%,6.7%,6.7%,6.7%,-0.4%,-0.4%,"Unemployment ticked down to 6.3% (vs 6.7% last month). Market expected 6.7%, positive surprise (-0.4pp vs forecast).",unemployment,0.007529463034362971,-0.0008414838586170426,2021-02-07 00:00:00-05:00,2021-02-08 00:00:00-05:00
Dec,2021-01-08 00:00:00-05:00,6.7%,6.7%,6.8%,6.8%,-0.1%,+0.0%,"Unemployment was unchanged to 6.7% (vs 6.7% last month). Market expected 6.8%, positive surprise (-0.1pp vs forecast).",unemployment,-0.00653347329682441,0.00015768929760762163,2021-01-10 00:00:00-05:00,2021-01-11 00:00:00-05:00
Nov,2020-12-04 00:00:00-05:00,6.7%,6.9%,6.8%,6.8%,-0.1%,-0.2%,"Unemployment ticked down to 6.7% (vs 6.9% last month). Market expected 6.8%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0018590213371596498,0.002780220387435417,2020-12-06 00:00:00-05:00,2020-12-07 00:00:00-05:00
Oct,2020-11-06 00:00:00-05:00,6.9%,7.9%,7.7%,7.7%,-0.8%,-1.0%,"Unemployment ticked down to 6.9% (vs 7.9% last month). Market expected 7.7%, positive surprise (-0.8pp vs forecast).",unemployment,0.012491260826083428,-0.0012925092914901626,2020-11-08 00:00:00-05:00,2020-11-09 00:00:00-05:00
Sep,2020-10-02 00:00:00-04:00,7.9%,8.4%,8.2%,8.2%,-0.3%,-0.5%,"Unemployment ticked down to 7.9% (vs 8.4% last month). Market expected 8.2%, positive surprise (-0.3pp vs forecast).",unemployment,0.017460051437839796,-0.014197516947888289,2020-10-04 00:00:00-04:00,2020-10-05 00:00:00-04:00
Aug,2020-09-04 00:00:00-04:00,8.4%,10.2%,9.8%,9.8%,-1.4%,-1.8%,"Unemployment ticked down to 8.4% (vs 10.2% last month). Market expected 9.8%, positive surprise (-1.4pp vs forecast).",unemployment,-0.027181866568969704,0.01957378979853064,2020-09-07 00:00:00-04:00,2020-09-08 00:00:00-04:00
Jul,2020-08-07 00:00:00-04:00,10.2%,11.1%,10.5%,10.5%,-0.3%,-0.9%,"Unemployment ticked down to 10.2% (vs 11.1% last month). Market expected 10.5%, positive surprise (-0.3pp vs forecast).",unemployment,0.00300624503351532,-0.008368896773531809,2020-08-09 00:00:00-04:00,2020-08-10 00:00:00-04:00
Jun,2020-07-02 00:00:00-04:00,11.1%,13.3%,12.3%,12.3%,-1.2%,-2.2%,"Unemployment ticked down to 11.1% (vs 13.3% last month). Market expected 12.3%, positive surprise (-1.2pp vs forecast).",unemployment,0.015345192682989284,-0.010305984727860151,2020-07-05 00:00:00-04:00,2020-07-06 00:00:00-04:00
May,2020-06-05 00:00:00-04:00,13.3%,14.7%,19.7%,19.7%,-6.4%,-1.4%,"Unemployment ticked down to 13.3% (vs 14.7% last month). Market expected 19.7%, positive surprise (-6.4pp vs forecast).",unemployment,0.012231458008487683,-0.007367423943898999,2020-06-07 00:00:00-04:00,2020-06-08 00:00:00-04:00
Apr,2020-05-08 00:00:00-04:00,14.7%,4.4%,16.0%,16.0%,-1.3%,+10.3%,"Unemployment ticked up to 14.7% (vs 4.4% last month). Market expected 16.0%, positive surprise (-1.3pp vs forecast).",unemployment,-3.406103670333671e-05,-0.020378187063739728,2020-05-10 00:00:00-04:00,2020-05-11 00:00:00-04:00
Mar,2020-04-03 00:00:00-04:00,4.4%,3.5%,3.8%,3.8%,+0.6%,+0.9%,"Unemployment ticked up to 4.4% (vs 3.5% last month). Market expected 3.8%, negative surprise (+0.6pp vs forecast).",unemployment,0.06738390165678299,0.0004139091597847866,2020-04-05 00:00:00-04:00,2020-04-06 00:00:00-04:00
Feb,2020-03-06 00:00:00-05:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,-0.08001341370442727,0.05367522969902505,2020-03-08 00:00:00-05:00,2020-03-09 00:00:00-04:00
Jan,2020-02-07 00:00:00-05:00,3.6%,3.5%,3.5%,3.5%,+0.1%,+0.1%,"Unemployment ticked up to 3.6% (vs 3.5% last month). Market expected 3.5%, negative surprise (+0.1pp vs forecast).",unemployment,0.00740083852100204,0.0018442934519684595,2020-02-09 00:00:00-05:00,2020-02-10 00:00:00-05:00
Dec,2020-01-10 00:00:00-05:00,3.5%,3.5%,3.5%,3.5%,+0.0%,+0.0%,"Unemployment was unchanged to 3.5% (vs 3.5% last month). Market expected 3.5%, in line with expectations.",unemployment,0.007000197970432609,-0.0015482677639667708,2020-01-12 00:00:00-05:00,2020-01-13 00:00:00-05:00
Nov,2019-12-06 00:00:00-05:00,3.5%,3.6%,3.6%,3.6%,-0.1%,-0.1%,"Unemployment ticked down to 3.5% (vs 3.6% last month). Market expected 3.6%, positive surprise (-0.1pp vs forecast).",unemployment,-0.0029687450871737076,-0.0010450172255876966,2019-12-08 00:00:00-05:00,2019-12-09 00:00:00-05:00
Oct,2019-11-01 00:00:00-04:00,3.6%,3.5%,3.6%,3.6%,+0.0%,+0.1%,"Unemployment ticked up to 3.6% (vs 3.5% last month). Market expected 3.6%, in line with expectations.",unemployment,0.0037671284519851245,0.0,2019-11-03 00:00:00-04:00,2019-11-03 00:00:00-04:00
Sep,2019-10-04 00:00:00-04:00,3.5%,3.7%,3.7%,3.7%,-0.2%,-0.2%,"Unemployment ticked down to 3.5% (vs 3.7% last month). Market expected 3.7%, positive surprise (-0.2pp vs forecast).",unemployment,-0.004492841801159053,-0.015473889349294168,2019-10-06 00:00:00-04:00,2019-10-07 00:00:00-04:00
Aug,2019-09-06 00:00:00-04:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,0.00046671926589803014,-6.659510956852355e-05,2019-09-08 00:00:00-04:00,2019-09-09 00:00:00-04:00
Jul,2019-08-02 00:00:00-04:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,-0.03005912798115873,0.01334178101566419,2019-08-04 00:00:00-04:00,2019-08-05 00:00:00-04:00
Jun,2019-07-05 00:00:00-04:00,3.7%,3.6%,3.6%,3.6%,+0.1%,+0.1%,"Unemployment ticked up to 3.7% (vs 3.6% last month). Market expected 3.6%, negative surprise (+0.1pp vs forecast).",unemployment,-0.00516554074615061,0.0016082467827192026,2019-07-07 00:00:00-04:00,2019-07-08 00:00:00-04:00
May,2019-06-07 00:00:00-04:00,3.6%,3.6%,3.6%,3.6%,+0.0%,+0.0%,"Unemployment was unchanged to 3.6% (vs 3.6% last month). Market expected 3.6%, in line with expectations.",unemployment,0.004591297979565256,-0.00017168715188076167,2019-06-09 00:00:00-04:00,2019-06-10 00:00:00-04:00
Apr,2019-05-03 00:00:00-04:00,3.6%,3.8%,3.8%,3.8%,-0.2%,-0.2%,"Unemployment ticked down to 3.6% (vs 3.8% last month). Market expected 3.8%, positive surprise (-0.2pp vs forecast).",unemployment,-0.0037493655007705406,-0.0169212668876757,2019-05-05 00:00:00-04:00,2019-05-06 00:00:00-04:00
Mar,2019-04-05 00:00:00-04:00,3.8%,3.8%,3.8%,3.8%,+0.0%,+0.0%,"Unemployment was unchanged to 3.8% (vs 3.8% last month). Market expected 3.8%, in line with expectations.",unemployment,0.0011013897282090568,-0.005158870583052533,2019-04-07 00:00:00-04:00,2019-04-08 00:00:00-04:00
Feb,2019-03-08 00:00:00-05:00,3.8%,4.0%,3.9%,3.9%,-0.1%,-0.2%,"Unemployment ticked down to 3.8% (vs 4.0% last month). Market expected 3.9%, positive surprise (-0.1pp vs forecast).",unemployment,0.014518374791234967,0.003533112146945294,2019-03-10 00:00:00-05:00,2019-03-11 00:00:00-04:00
Jan,2019-02-01 00:00:00-05:00,4.0%,3.9%,3.9%,3.9%,+0.1%,+0.1%,"Unemployment ticked up to 4.0% (vs 3.9% last month). Market expected 3.9%, negative surprise (+0.1pp vs forecast).",unemployment,0.00717720400477484,0.00427546178903615,2019-02-03 00:00:00-05:00,2019-02-04 00:00:00-05:00
Dec,2019-01-04 00:00:00-05:00,3.9%,3.7%,3.7%,3.7%,+0.2%,+0.2%,"Unemployment ticked up to 3.9% (vs 3.7% last month). Market expected 3.7%, negative surprise (+0.2pp vs forecast).",unemployment,0.006730827696777908,0.00985265046640138,2019-01-06 00:00:00-05:00,2019-01-07 00:00:00-05:00
Nov,2018-12-07 00:00:00-05:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,0.0015057066629640126,0.0001878661810001958,2018-12-09 00:00:00-05:00,2018-12-10 00:00:00-05:00
Oct,2018-11-02 00:00:00-04:00,3.7%,3.7%,3.7%,3.7%,+0.0%,+0.0%,"Unemployment was unchanged to 3.7% (vs 3.7% last month). Market expected 3.7%, in line with expectations.",unemployment,0.006133816320747387,0.0,2018-11-04 00:00:00-04:00,2018-11-04 00:00:00-04:00
Sep,2018-10-05 00:00:00-04:00,3.7%,3.9%,3.8%,3.8%,-0.1%,-0.2%,"Unemployment ticked down to 3.7% (vs 3.9% last month). Market expected 3.8%, positive surprise (-0.1pp vs forecast).",unemployment,3.4625157933065864e-05,-0.0012071278248263484,2018-10-07 00:00:00-04:00,2018-10-08 00:00:00-04:00
